O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY
3000001,60001,F,30175.88,1992-12-17,4-NOT SPECIFIED,Clerk#000000141,0
3000002,60002,O,297999.63,1995-07-28,1-URGENT,Clerk#000000547,0
3000003,60003,O,345438.38,1997-11-04,5-LOW,Clerk#000000488,0
3000004,60004,O,135965.53,1996-06-13,4-NOT SPECIFIED,Clerk#000000004,0
3000005,60005,F,209937.09,1992-09-12,5-LOW,Clerk#000000030,0
3000006,60006,O,140186.32,1996-09-26,1-URGENT,Clerk#000000726,0
3000007,60007,F,298655.07,1992-04-13,5-LOW,Clerk#000000871,0
3000032,60008,F,175973.90,1992-03-02,1-URGENT,Clerk#000000460,0
3000033,60009,F,4635.38,1993-11-10,1-URGENT,Clerk#000000923,0
3000034,60010,F,348308.79,1992-04-21,1-URGENT,Clerk#000000418,0
3000035,60011,O,6243.05,1997-03-08,5-LOW,Clerk#000000817,0
3000036,60012,F,46059.51,1994-03-24,5-LOW,Clerk#000000908,0
3000037,60013,O,191224.65,1998-07-22,5-LOW,Clerk#000000004,0
3000038,60014,O,108690.62,1995-08-02,3-MEDIUM,Clerk#000000112,0
3000039,60014,F,149059.48,1993-05-15,1-URGENT,Clerk#000000518,0
3000064,60015,O,60227.84,1997-11-09,2-HIGH,Clerk#000000477,0
3000065,60016,O,119144.10,1995-06-21,3-MEDIUM,Clerk#000000640,0
3000066,60017,O,50318.82,1995-06-20,5-LOW,Clerk#000000476,0
3000067,60018,O,252017.25,1995-11-29,3-MEDIUM,Clerk#000000981,0
3000068,60019,O,83440.47,1996-04-30,3-MEDIUM,Clerk#000000394,0
3000069,60020,F,204465.60,1994-01-11,1-URGENT,Clerk#000000549,0
3000070,60021,O,282985.48,1997-05-23,2-HIGH,Clerk#000000843,0
3000071,60022,O,53017.24,1996-04-28,1-URGENT,Clerk#000000617,0
3000096,60023,F,256949.58,1994-03-08,5-LOW,Clerk#000000513,0
3000097,60024,F,128591.36,1992-01-25,4-NOT SPECIFIED,Clerk#000000338,0
